                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.61029,                 0.3426,                0.99317,                0.98039,                0.94128,                0.97325,                 0.8419,                 0.6823,                0.44827,                 1.1579,                0.00133,                0.00133,                0.00133
                     73,                0.63489,                0.37221,                 1.0462,                0.97308,                0.99231,                0.98593,                0.84072,                0.66543,                0.41173,                 1.1614,              0.0013286,              0.0013286,              0.0013286
                     74,                 0.6369,                0.39184,                 1.0504,                0.97086,                0.97157,                0.98464,                0.83173,                0.67715,                0.39651,                 1.1729,              0.0013271,              0.0013271,              0.0013271
                     75,                0.64455,                0.37142,                 1.0569,                0.97983,                0.98997,                0.98511,                0.86477,                0.64843,                0.38927,                 1.1722,              0.0013257,              0.0013257,              0.0013257
                     76,                0.61097,                0.34967,                 1.0239,                0.97158,                0.99508,                0.98516,                0.86146,                 0.6531,                0.39628,                 1.1665,              0.0013243,              0.0013243,              0.0013243
                     77,                0.62576,                0.36984,                 1.0435,                0.95276,                0.97521,                0.98519,                0.85482,                0.66971,                0.39198,                 1.1575,              0.0013229,              0.0013229,              0.0013229
                     78,                0.62063,                0.35947,                 1.0261,                0.92108,                0.94503,                0.96179,                0.83381,                0.68843,                0.48073,                 1.1742,              0.0013215,              0.0013215,              0.0013215
                     79,                0.60943,                0.35274,                 1.0353,                0.94693,                0.98978,                0.98802,                0.84332,                 0.6554,                 0.3806,                 1.1513,              0.0013201,              0.0013201,              0.0013201
                     80,                 0.6281,                0.36878,                 1.0336,                 0.9511,                0.99146,                0.98778,                0.85043,                0.66618,                0.39079,                 1.1551,              0.0013187,              0.0013187,              0.0013187
                     81,                 0.6697,                0.37533,                 1.0399,                0.97291,                0.98851,                0.98838,                0.85261,                0.66386,                0.37246,                 1.1377,              0.0013172,              0.0013172,              0.0013172
                     82,                0.61665,                0.33952,                 0.9949,                0.97858,                0.98973,                0.98811,                0.85863,                0.64176,                 0.3657,                 1.1358,              0.0013158,              0.0013158,              0.0013158
                     83,                0.60093,                0.33619,                 1.0287,                0.97106,                0.99994,                  0.987,                0.84646,                0.65138,                0.38294,                 1.1459,              0.0013144,              0.0013144,              0.0013144
                     84,                0.63276,                0.34339,                 1.0449,                0.96146,                0.98923,                0.98778,                0.84224,                0.67031,                0.39335,                 1.1717,               0.001313,               0.001313,               0.001313
                     85,                0.63064,                   0.36,                 1.0676,                0.95905,                0.95951,                0.98889,                0.85325,                0.67102,                0.39254,                 1.1551,              0.0013116,              0.0013116,              0.0013116
                     86,                0.61269,                0.36081,                 1.0466,                0.97063,                0.99588,                0.98778,                0.85685,                0.70152,                0.38807,                 1.1725,              0.0013102,              0.0013102,              0.0013102
                     87,                0.59344,                0.32749,                 1.0038,                0.94996,                0.98353,                0.98754,                0.85798,                0.68577,                0.37187,                 1.1448,              0.0013087,              0.0013087,              0.0013087
                     88,                0.60008,                0.34776,                 1.0236,                0.95876,                0.98446,                0.98597,                0.84522,                0.65177,                 0.3978,                 1.1514,              0.0013073,              0.0013073,              0.0013073
                     89,                0.59442,                0.34647,                0.99715,                0.96435,                0.97533,                0.98511,                0.86388,                 0.6244,                0.39923,                 1.1211,              0.0013059,              0.0013059,              0.0013059
                     90,                0.59459,                0.35578,                 1.0374,                0.97455,                0.98284,                0.98969,                0.86275,                0.63538,                0.37697,                 1.1254,              0.0013045,              0.0013045,              0.0013045
                     91,                0.63832,                0.36985,                  1.061,                0.97643,                0.98949,                0.98889,                0.87069,                0.63442,                0.35869,                 1.1372,              0.0013031,              0.0013031,              0.0013031
                     92,                0.61894,                0.34807,                 1.0436,                0.96509,                0.98843,                0.98958,                0.85412,                 0.6566,                0.38861,                 1.1424,              0.0013017,              0.0013017,              0.0013017
                     93,                0.63597,                0.35858,                 1.0541,                0.95127,                0.98987,                0.98909,                 0.8457,                0.66241,                0.42461,                 1.1707,              0.0013003,              0.0013003,              0.0013003
                     94,                0.66176,                 0.3728,                 1.0759,                0.93814,                0.97462,                0.98875,                0.83407,                0.71031,                0.43114,                 1.2042,              0.0012988,              0.0012988,              0.0012988
                     95,                0.61985,                0.34388,                 1.0204,                0.98576,                0.98951,                0.99122,                0.86583,                 0.6611,                0.38312,                 1.1698,              0.0012974,              0.0012974,              0.0012974
                     96,                0.61644,                0.34124,                  1.017,                0.97384,                 0.9859,                0.98811,                0.86153,                0.67262,                0.37059,                 1.1802,               0.001296,               0.001296,               0.001296
                     97,                0.61352,                0.34427,                 1.0283,                0.95806,                0.99036,                0.98889,                0.85921,                0.66921,                0.36134,                 1.1567,              0.0012946,              0.0012946,              0.0012946
                     98,                0.62902,                0.34808,                 1.0357,                0.97117,                0.98576,                0.98778,                0.85463,                0.66221,                 0.3956,                 1.1555,              0.0012932,              0.0012932,              0.0012932
                     99,                 0.6015,                0.36171,                 1.0232,                0.95751,                0.98965,                0.99044,                0.86743,                0.64594,                0.37668,                 1.1418,              0.0012918,              0.0012918,              0.0012918
                    100,                0.61814,                0.35558,                 1.0261,                0.96448,                0.98093,                0.98836,                0.84533,                0.67631,                0.44374,                 1.1542,              0.0012904,              0.0012904,              0.0012904
                    101,                0.61145,                0.34304,                 1.0282,                0.97832,                      1,                0.98856,                0.86975,                0.65008,                0.35752,                 1.1373,              0.0012889,              0.0012889,              0.0012889
                    102,                0.59564,                0.32773,                 1.0398,                0.97581,                0.99586,                0.98667,                0.85766,                0.67066,                 0.3648,                  1.156,              0.0012875,              0.0012875,              0.0012875
                    103,                0.59728,                0.34506,                  1.028,                0.94913,                0.98029,                0.98933,                0.86923,                 0.6254,                0.35382,                 1.1406,              0.0012861,              0.0012861,              0.0012861
                    104,                 0.5954,                 0.3272,                 1.0331,                0.97101,                0.98851,                0.98666,                0.86546,                 0.6663,                0.38814,                 1.1919,              0.0012847,              0.0012847,              0.0012847
                    105,                0.59134,                0.33917,                 1.0206,                0.96619,                0.98232,                0.98778,                0.87516,                0.65653,                0.39187,                 1.1622,              0.0012833,              0.0012833,              0.0012833
